,N,N_pos,mid_age,name
1,1,0,9.5,"Sanmin, TWN [79]"
2,64,6,24.5,"Sanmin, TWN [79]"
3,14,3,34.5,"Sanmin, TWN [79]"
4,17,3,44.5,"Sanmin, TWN [79]"
5,21,3,54.5,"Sanmin, TWN [79]"
6,26,5,64.5,"Sanmin, TWN [79]"
7,10,7,74.5,"Sanmin, TWN [79]"
8,1,1,84.5,"Sanmin, TWN [79]"
9,1,0,9.5,"Nanzih, TWN [79]"
10,30,2,24.5,"Nanzih, TWN [79]"
11,23,2,34.5,"Nanzih, TWN [79]"
12,19,1,44.5,"Nanzih, TWN [79]"
13,24,3,54.5,"Nanzih, TWN [79]"
14,24,2,64.5,"Nanzih, TWN [79]"
15,10,3,74.5,"Nanzih, TWN [79]"
16,1,0,84.5,"Nanzih, TWN [79]"
17,529,44,22,"Kenya, KEN [52]"
18,395,62,39.5,"Kenya, KEN [52]"
19,167,37,57,"Kenya, KEN [52]"
20,112,40,7,"Morelos, MEX [65]"
21,311,194,17.5,"Morelos, MEX [65]"
22,505,479,63,"Morelos, MEX [65]"
23,400,51,3,"Singapore, SGP [71]"
24,400,46,8,"Singapore, SGP [71]"
25,400,24,13,"Singapore, SGP [71]"
26,51,11,1.5,"Pune, IND [44]"
27,64,24,5,"Pune, IND [44]"
28,73,35,8,"Pune, IND [44]"
29,101,60,11,"Pune, IND [44]"
30,68,48,14,"Pune, IND [44]"
31,44,34,17,"Pune, IND [44]"
32,50,40,19.5,"Pune, IND [44]"
33,296,256,25.5,"Pune, IND [44]"
34,265,242,35.5,"Pune, IND [44]"
35,179,174,45.5,"Pune, IND [44]"
36,125,123,55.5,"Pune, IND [44]"
37,76,74,65.5,"Pune, IND [44]"
38,42,42,85.5,"Pune, IND [44]"
39,94,86,7,"Chennai, IND [41]"
40,111,101,12,"Chennai, IND [41]"
41,111,101,17,"Chennai, IND [41]"
42,222,208,24.5,"Chennai, IND [41]"
43,262,248,35,"Chennai, IND [41]"
44,238,167,39.5,"Peninsular urban, MAL [59]"
45,627,530,49.5,"Peninsular urban, MAL [59]"
46,476,440,59.5,"Peninsular urban, MAL [59]"
47,76,73,69.5,"Peninsular urban, MAL [59]"
48,102,60,39.5,"Peninsular rural, MAL [59]"
49,427,339,49.5,"Peninsular rural, MAL [59]"
50,568,509,59.5,"Peninsular rural, MAL [59]"
51,84,78,69.5,"Peninsular rural, MAL [59]"
52,38,21,7.5,"Ratchaburi, THA [84]"
53,40,27,16.5,"Ratchaburi, THA [84]"
54,37,34,20.5,"Ratchaburi, THA [84]"
55,26,22,22.5,"Ramalana, LKA [75]"
56,35,32,32.5,"Ramalana, LKA [75]"
57,32,32,42.5,"Ramalana, LKA [75]"
58,33,32,52.5,"Ramalana, LKA [75]"
59,15,14,62.5,"Ramalana, LKA [75]"
60,9,9,72.5,"Ramalana, LKA [75]"
61,79,21,1.5,"Lambarene, GAB [37]"
62,140,31,7,"Lambarene, GAB [37]"
63,28,7,14.5,"Lambarene, GAB [37]"
64,140,20,59,"Lambarene, GAB [37]"
65,64,22,5,"Kerala urban, IND [47]"
66,50,19,15.5,"Kerala urban, IND [47]"
67,90,36,25.5,"Kerala urban, IND [47]"
68,75,42,40.5,"Kerala urban, IND [47]"
69,78,40,20.5,"Kerala urban, IND [47]"
70,112,61,75.5,"Kerala urban, IND [47]"
71,64,1,5,"Kerala rural, IND [47]"
72,50,12,15.5,"Kerala rural, IND [47]"
73,90,10,25.5,"Kerala rural, IND [47]"
74,75,31,40.5,"Kerala rural, IND [47]"
75,78,32,20.5,"Kerala rural, IND [47]"
76,112,59,75.5,"Kerala rural, IND [47]"
77,24,6,16,"Osogbo, NIG [66]"
78,65,24,25.5,"Osogbo, NIG [66]"
79,427,49,7,"Vaddu area, IND [48]"
80,392,76,12.5,"Vaddu area, IND [48]"
81,427,68,7,"Vaddu area, IND [48]"
82,392,100,12.5,"Vaddu area, IND [48]"
83,254,178,4.5,"Pune, IND [49]"
84,492,418,14.5,"Pune, IND [49]"
85,284,264,24.5,"Pune, IND [49]"
86,250,240,34.5,"Pune, IND [49]"
87,193,189,44.5,"Pune, IND [49]"
88,181,173,54.5,"Pune, IND [49]"
89,108,40,4.5,"Pune, IND [49]"
90,214,114,14.5,"Pune, IND [49]"
91,149,88,24.5,"Pune, IND [49]"
92,132,94,34.5,"Pune, IND [49]"
93,79,64,44.5,"Pune, IND [49]"
94,115,101,54.5,"Pune, IND [49]"
95,193,12,3.5,"Fortaleza, BRA [25]"
96,290,109,9,"Fortaleza, BRA [25]"
97,72,3,7,"Tapera, BRA [27]"
98,179,48,37,"Tapera, BRA [27]"
99,37,22,80,"Tapera, BRA [27]"
100,175,25,6,"Nha Trang City, VNM [86]"
101,318,76,14.5,"Nha Trang City, VNM [86]"
102,275,67,24.5,"Nha Trang City, VNM [86]"
103,243,47,34.5,"Nha Trang City, VNM [86]"
104,307,68,44.5,"Nha Trang City, VNM [86]"
105,161,24,55,"Nha Trang City, VNM [86]"
106,218,75,6.5,"Sri Jayewadenpura, LKA [77]"
107,216,117,9,"Sri Jayewadenpura, LKA [77]"
108,98,64,12,"Sri Jayewadenpura, LKA [77]"
109,60,43,15,"Sri Jayewadenpura, LKA [77]"
110,108,83,20.5,"Sri Jayewadenpura, LKA [77]"
111,197,152,29.5,"Sri Jayewadenpura, LKA [77]"
112,216,206,39.5,"Sri Jayewadenpura, LKA [77]"
113,237,229,49.5,"Sri Jayewadenpura, LKA [77]"
114,208,199,59.5,"Sri Jayewadenpura, LKA [77]"
115,96,96,69.5,"Sri Jayewadenpura, LKA [77]"
116,17,17,77.5,"Sri Jayewadenpura, LKA [77]"
117,22,5,2,"Petaling, MAL [60]"
118,25,19,7,"Petaling, MAL [60]"
119,88,71,14.5,"Petaling, MAL [60]"
120,139,103,24.5,"Petaling, MAL [60]"
121,52,39,34.5,"Petaling, MAL [60]"
122,76,67,44.5,"Petaling, MAL [60]"
123,59,54,54.5,"Petaling, MAL [60]"
124,39,37,80,"Petaling, MAL [60]"
125,61,2,5.5,"Garoua, CMR [29]"
126,185,18,14.5,"Garoua, CMR [29]"
127,153,38,24.5,"Garoua, CMR [29]"
128,170,51,37,"Garoua, CMR [29]"
129,141,65,72.5,"Garoua, CMR [29]"
130,85,25,5.5,"Doualaa, CMR [29]"
131,104,57,14.5,"Doualaa, CMR [29]"
132,190,128,24.5,"Doualaa, CMR [29]"
133,180,121,37,"Doualaa, CMR [29]"
134,107,79,72.5,"Doualaa, CMR [29]"
135,264,140,9.5,"Recife, BRA [26]"
136,357,319,19.5,"Recife, BRA [26]"
137,323,300,29.5,"Recife, BRA [26]"
138,375,360,39.5,"Recife, BRA [26]"
139,387,373,49.5,"Recife, BRA [26]"
140,364,345,60,"Recife, BRA [26]"
141,98,6,10,"Chennai, IND [46]"
142,336,8,25.5,"Chennai, IND [46]"
143,134,10,35.5,"Chennai, IND [46]"
144,32,2,45.5,"Chennai, IND [46]"
145,8,0,55.5,"Chennai, IND [46]"
146,409,65,9.5,"Djibouti, DJI [32]"
147,435,96,29.5,"Djibouti, DJI [32]"
148,155,27,49.5,"Djibouti, DJI [32]"
149,36,11,80,"Djibouti, DJI [32]"
150,361,38,6,"Peninsular, MAL [62]"
151,130,45,56.5,"Peninsular, MAL [62]"
152,22,18,4.5,"Champasak, LAO [54]"
153,23,21,14.5,"Champasak, LAO [54]"
154,26,25,24.5,"Champasak, LAO [54]"
155,21,21,34.5,"Champasak, LAO [54]"
156,50,50,44.5,"Champasak, LAO [54]"
157,45,45,54.5,"Champasak, LAO [54]"
158,34,34,64.5,"Champasak, LAO [54]"
159,15,15,82.5,"Champasak, LAO [54]"
160,17,1,4.5,"Mukdahn, THA [54]"
161,44,35,14.5,"Mukdahn, THA [54]"
162,21,20,24.5,"Mukdahn, THA [54]"
163,35,35,34.5,"Mukdahn, THA [54]"
164,57,57,44.5,"Mukdahn, THA [54]"
165,63,63,54.5,"Mukdahn, THA [54]"
166,49,49,64.5,"Mukdahn, THA [54]"
167,18,18,82.5,"Mukdahn, THA [54]"
168,32,14,4.5,"Savannakhet, LAO [54]"
169,29,24,14.5,"Savannakhet, LAO [54]"
170,11,11,24.5,"Savannakhet, LAO [54]"
171,42,42,34.5,"Savannakhet, LAO [54]"
172,42,42,44.5,"Savannakhet, LAO [54]"
173,48,48,54.5,"Savannakhet, LAO [54]"
174,22,21,64.5,"Savannakhet, LAO [54]"
175,15,15,82.5,"Savannakhet, LAO [54]"
176,22,9,4.5,"Ubon, THA [54]"
177,29,20,14.5,"Ubon, THA [54]"
178,16,16,24.5,"Ubon, THA [54]"
179,26,26,34.5,"Ubon, THA [54]"
180,51,51,44.5,"Ubon, THA [54]"
181,77,77,54.5,"Ubon, THA [54]"
182,43,43,64.5,"Ubon, THA [54]"
183,26,26,82.5,"Ubon, THA [54]"
184,30,26,18.5,GLP and MTQ [34]
185,192,176,24.5,GLP and MTQ [34]
186,190,171,34.5,GLP and MTQ [34]
187,194,188,44.5,GLP and MTQ [34]
188,147,142,54.5,GLP and MTQ [34]
189,30,29,65,GLP and MTQ [34]
190,355,57,18,"Singapore, SGP [72]"
191,304,50,23,"Singapore, SGP [72]"
192,357,117,28,"Singapore, SGP [72]"
193,402,173,33,"Singapore, SGP [72]"
194,446,216,38,"Singapore, SGP [72]"
195,482,276,43,"Singapore, SGP [72]"
196,484,337,48,"Singapore, SGP [72]"
197,446,355,53,"Singapore, SGP [72]"
198,351,304,58,"Singapore, SGP [72]"
199,122,67,5.5,"Dhaka, BGD [22]"
200,264,189,17,"Dhaka, BGD [22]"
201,316,263,28,"Dhaka, BGD [22]"
202,223,205,39,"Dhaka, BGD [22]"
203,134,114,50,"Dhaka, BGD [22]"
204,56,51,61,"Dhaka, BGD [22]"
205,11,11,82,"Dhaka, BGD [22]"
206,330,271,19.5,"Bali, IND [43]"
207,209,190,70,"Bali, IND [43]"
208,244,106,5,"Delhi, IND [39]"
209,85,49,6,"Delhi, IND [39]"
210,179,116,7,"Delhi, IND [39]"
211,186,125,8,"Delhi, IND [39]"
212,145,107,9,"Delhi, IND [39]"
213,128,94,10,"Delhi, IND [39]"
214,400,60,5,"Kalayani, IND [39]"
215,428,62,6,"Kalayani, IND [39]"
216,257,68,7,"Kalayani, IND [39]"
217,289,76,8,"Kalayani, IND [39]"
218,154,43,9,"Kalayani, IND [39]"
219,28,14,10,"Kalayani, IND [39]"
220,117,54,5,"Wardha, IND [39]"
221,102,51,6,"Wardha, IND [39]"
222,86,54,7,"Wardha, IND [39]"
223,67,55,8,"Wardha, IND [39]"
224,65,53,9,"Wardha, IND [39]"
225,63,56,10,"Wardha, IND [39]"
226,60,31,5,"Mumbai, IND [39]"
227,83,57,6,"Mumbai, IND [39]"
228,78,62,7,"Mumbai, IND [39]"
229,68,61,8,"Mumbai, IND [39]"
230,68,60,9,"Mumbai, IND [39]"
231,31,30,10,"Mumbai, IND [39]"
232,318,107,5,"Hyderabad, IND [39]"
233,220,111,6,"Hyderabad, IND [39]"
234,206,120,7,"Hyderabad, IND [39]"
235,165,122,8,"Hyderabad, IND [39]"
236,149,109,9,"Hyderabad, IND [39]"
237,119,70,10,"Hyderabad, IND [39]"
238,109,67,5,"Bangalore, IND [39]"
239,109,66,6,"Bangalore, IND [39]"
240,116,68,7,"Bangalore, IND [39]"
241,78,55,8,"Bangalore, IND [39]"
242,68,43,9,"Bangalore, IND [39]"
243,35,22,10,"Bangalore, IND [39]"
244,178,76,2.5,"Ratchaburi, THA [83]"
245,374,225,7,"Ratchaburi, THA [83]"
246,460,368,12,"Ratchaburi, THA [83]"
247,335,308,19.5,"Ratchaburi, THA [83]"
248,170,169,29.5,"Ratchaburi, THA [83]"
249,297,294,45,"Ratchaburi, THA [83]"
250,672,224,2.5,"Indonesia, IND [51]"
251,861,556,7,"Indonesia, IND [51]"
252,886,727,12,"Indonesia, IND [51]"
253,775,691,16.5,"Indonesia, IND [51]"
254,9,2,2.5,"Quobdo, COL [31]"
255,21,9,9.5,"Quobdo, COL [31]"
256,25,15,30,"Quobdo, COL [31]"
257,3,3,73,"Quobdo, COL [31]"
258,208,37,2.5,"Ougadougou, BFA [28]"
259,410,142,7,"Ougadougou, BFA [28]"
260,384,189,12,"Ougadougou, BFA [28]"
261,379,243,17,"Ougadougou, BFA [28]"
262,694,560,24.5,"Ougadougou, BFA [28]"
263,410,357,34.5,"Ougadougou, BFA [28]"
264,264,249,44.5,"Ougadougou, BFA [28]"
265,148,143,52.5,"Ougadougou, BFA [28]"
266,362,33,8,"Sabah, MYS [57]"
267,388,27,11,"Sabah, MYS [57]"
268,352,49,13,"Sabah, MYS [57]"
269,314,50,17,"Sabah, MYS [57]"
270,123,57,15,"Delhi, IND [42]"
271,57,40,31,"Delhi, IND [42]"
272,19,18,41,"Delhi, IND [42]"
273,1,1,75.5,"Delhi, IND [42]"
274,7,1,2.5,"Quininde, ECU [33]"
275,140,38,8,"Quininde, ECU [33]"
276,4,2,13,"Quininde, ECU [33]"
277,3,1,18,"Quininde, ECU [33]"
278,12,7,23,"Quininde, ECU [33]"
279,45,14,28,"Quininde, ECU [33]"
280,37,18,33,"Quininde, ECU [33]"
281,41,19,38,"Quininde, ECU [33]"
282,15,6,43,"Quininde, ECU [33]"
283,9,6,48,"Quininde, ECU [33]"
284,6,5,55,"Quininde, ECU [33]"
285,48,33,17.5,"Damansara, MAL [58]"
286,34,28,68,"Damansara, MAL [58]"
287,353,300,7.5,"Anapoima, COL [30]"
288,307,271,18.5,"Anapoima, COL [30]"
289,336,307,35.5,"Anapoima, COL [30]"
290,322,304,70.5,"Anapoima, COL [30]"
291,11,3,5.5,"Jeddah, SAU [70]"
292,237,76,15.5,"Jeddah, SAU [70]"
293,399,156,25.5,"Jeddah, SAU [70]"
294,462,197,35.5,"Jeddah, SAU [70]"
295,429,228,45.5,"Jeddah, SAU [70]"
296,366,244,73,"Jeddah, SAU [70]"
297,642,71,13.5,"Buhigwe, TZA [80]"
298,607,109,35,"Buhigwe, TZA [80]"
299,569,112,71.5,"Buhigwe, TZA [80]"
300,246,6,4.5,"Taipei, TWN [78]"
301,154,2,14.5,"Taipei, TWN [78]"
302,180,3,24.5,"Taipei, TWN [78]"
303,196,9,34.5,"Taipei, TWN [78]"
304,178,2,44.5,"Taipei, TWN [78]"
305,177,2,54.5,"Taipei, TWN [78]"
306,119,9,64.5,"Taipei, TWN [78]"
307,58,11,85,"Taipei, TWN [78]"
308,195,123,14.5,"Sau Paulo, BRA [23]"
309,457,337,29.5,"Sau Paulo, BRA [23]"
310,443,331,49.5,"Sau Paulo, BRA [23]"
311,227,195,75.5,"Sau Paulo, BRA [23]"
312,67,20,4,"South, THA [82]"
313,238,198,27,"South, THA [82]"
314,101,101,73,"South, THA [82]"
315,66,20,4,"Central, THA [82]"
316,258,218,27,"Central, THA [82]"
317,105,104,73,"Central, THA [82]"
318,51,12,0.5,"Colombo, LKA [74]"
319,196,71,2,"Colombo, LKA [74]"
320,191,105,5,"Colombo, LKA [74]"
321,225,150,8,"Colombo, LKA [74]"
322,136,103,11,"Colombo, LKA [74]"
323,794,373,6.5,"North, IND [40]"
324,826,477,13,"North, IND [40]"
325,782,504,31.5,"North, IND [40]"
326,722,12,6.5,"NorthEast, IND [40]"
327,805,10,13,"NorthEast, IND [40]"
328,833,61,31.5,"NorthEast, IND [40]"
329,815,44,6.5,"East, IND [40]"
330,874,65,13,"East, IND [40]"
331,797,202,31.5,"East, IND [40]"
332,768,207,6.5,"West, IND [40]"
333,824,400,13,"West, IND [40]"
334,744,568,31.5,"West, IND [40]"
335,960,445,6.5,"South, IND [40]"
336,936,651,13,"South, IND [40]"
337,820,689,31.5,"South, IND [40]"
338,113,25,2.5,"Lahore, PAK [67]"
339,160,59,7.5,"Lahore, PAK [67]"
340,127,52,11,"Lahore, PAK [67]"
341,33,16,21,"Sungai Segamat, MAL [61]"
342,22,15,29.5,"Sungai Segamat, MAL [61]"
343,42,22,39.5,"Sungai Segamat, MAL [61]"
344,65,58,49.5,"Sungai Segamat, MAL [61]"
345,115,98,77.5,"Sungai Segamat, MAL [61]"
346,241,124,4,"Ycatan, MEX [64]"
347,275,198,11.5,"Ycatan, MEX [64]"
348,285,209,17,"Ycatan, MEX [64]"
349,655,520,34.5,"Ycatan, MEX [64]"
350,211,176,75,"Ycatan, MEX [64]"
351,11,2,5,"Makkah, SAU [69]"
352,207,52,20.5,"Makkah, SAU [69]"
353,260,97,63.5,"Makkah, SAU [69]"
354,15,1,5,"Madinah, SAU [69]"
355,72,7,20.5,"Madinah, SAU [69]"
356,146,33,63.5,"Madinah, SAU [69]"
357,0,0,5,"Jeddah, SAU [69]"
358,123,24,20.5,"Jeddah, SAU [69]"
359,339,120,63.5,"Jeddah, SAU [69]"
360,34,7,5,"Jizan, SAU [69]"
361,234,78,20.5,"Jizan, SAU [69]"
362,269,100,63.5,"Jizan, SAU [69]"
363,138,19,5,Vaddu. IND [45]
364,136,41,15.5,Vaddu. IND [45]
365,144,65,25.5,Vaddu. IND [45]
366,139,83,35.5,Vaddu. IND [45]
367,145,93,70.5,Vaddu. IND [45]
368,82,40,11,"Trincomalee, LKA [76]"
369,99,48,14,"Trincomalee, LKA [76]"
370,84,56,18,"Trincomalee, LKA [76]"
371,94,32,11,"Jaffna, LKA [76]"
372,97,35,14,"Jaffna, LKA [76]"
373,130,49,18,"Jaffna, LKA [76]"
374,262,38,11,"Kurunegala, LKA [76]"
375,281,45,14,"Kurunegala, LKA [76]"
376,284,45,18,"Kurunegala, LKA [76]"
377,157,26,11,"Matara, LKA [76]"
378,168,30,14,"Matara, LKA [76]"
379,181,34,18,"Matara, LKA [76]"
380,156,26,11,"Ratnapura, LKA [76]"
381,166,49,14,"Ratnapura, LKA [76]"
382,173,74,18,"Ratnapura, LKA [76]"
383,62,21,11,"Polonaruwa, LKA [76]"
384,87,24,14,"Polonaruwa, LKA [76]"
385,108,27,18,"Polonaruwa, LKA [76]"
386,424,117,11,"Gampaha, LKA [76]"
387,462,142,14,"Gampaha, LKA [76]"
388,468,156,18,"Gampaha, LKA [76]"
389,185,26,11,"Kandy, LKA [76]"
390,234,31,14,"Kandy, LKA [76]"
391,262,59,18,"Kandy, LKA [76]"
392,174,18,11,"Badulla, LKA [76]"
393,172,31,14,"Badulla, LKA [76]"
394,155,22,18,"Badulla, LKA [76]"
